IDW IDB ODW ODB number_of_trials correlation_count correlation is_significant
0 3 0 12 67108864 33551872 -0.000076293945312 0
0 3 0 13 67108864 33525510 -0.000861942768097 1
0 3 0 14 67108864 33555714 0.000038206577301 0
0 3 0 15 67108864 33815638 0.007784545421600 1
0 3 0 16 67108864 34796170 0.037006676197052 1
0 3 0 17 67108864 33563069 0.000257402658463 0
0 3 0 18 67108864 33643870 0.002665460109711 1
0 3 0 19 67108864 32601189 -0.028408855199814 1
0 3 0 20 67108864 33562749 0.000247865915298 0
0 3 0 21 67108864 33549272 -0.000153779983521 0
0 3 0 22 67108864 33554000 -0.000012874603271 0
0 3 0 23 67108864 33820386 0.007926046848297 1
0 3 0 24 67108864 34694418 0.033974230289459 1
0 3 0 25 67108864 33555708 0.000038027763367 0
0 3 0 26 67108864 33566346 0.000355064868927 0
0 3 0 27 67108864 33556059 0.000048488378525 0
0 3 0 28 67108864 33553914 -0.000015437602997 0
0 3 0 29 67108864 33548464 -0.000177860260010 0
0 3 0 30 67108864 33553839 -0.000017672777176 0
0 3 0 31 67108864 33652182 0.002913177013397 1
0 3 1 0 67108864 33550112 -0.000128746032715 0
0 3 1 1 67108864 33554304 -0.000003814697266 0
0 3 1 2 67108864 33547329 -0.000211685895920 0
0 3 1 3 67108864 33559407 0.000148266553879 0
0 3 1 4 67108864 33551326 -0.000092566013336 0
0 3 1 5 67108864 33555022 0.000017583370209 0
0 3 1 6 67108864 33556789 0.000070244073868 0
0 3 1 7 67108864 33515871 -0.001149207353592 1
0 3 1 8 67108864 33554177 -0.000007599592209 0
0 3 1 9 67108864 33549127 -0.000158101320267 0
0 3 1 10 67108864 33640830 0.002574861049652 1
0 3 1 11 67108864 33558965 0.000135093927383 0
0 3 1 12 67108864 33552429 -0.000059694051743 0
0 3 1 13 67108864 33528985 -0.000758379697800 1
0 3 1 14 67108864 33555240 0.000024080276489 0
0 3 1 15 67108864 33350316 -0.006083130836487 1
0 3 1 16 67108864 33549688 -0.000141382217407 0
0 3 1 17 67108864 33563238 0.000262439250946 0
0 3 1 18 67108864 33553870 -0.000016748905182 0
0 3 1 19 67108864 33558551 0.000122755765915 0
0 3 1 20 67108864 33542857 -0.000344961881638 0
0 3 1 21 67108864 33557482 0.000090897083282 0
0 3 1 22 67108864 33553327 -0.000032931566238 0
0 3 1 23 67108864 33554383 -0.000001460313797 0
0 3 1 24 67108864 33548685 -0.000171273946762 0
0 3 1 25 67108864 33550286 -0.000123560428619 0
0 3 1 26 67108864 33555315 0.000026315450668 0
0 3 1 27 67108864 33557350 0.000086963176727 0
0 3 1 28 67108864 33558261 0.000114113092422 0
0 3 1 29 67108864 33557090 0.000079214572906 0
0 3 1 30 67108864 33562361 0.000236302614212 0
0 3 1 31 67108864 33541931 -0.000372558832169 0
0 3 2 0 67108864 33559285 0.000144630670547 0
0 3 2 1 67108864 33554340 -0.000002741813660 0
0 3 2 2 67108864 33558878 0.000132501125336 0
0 3 2 3 67108864 33587566 0.000987470149994 1
0 3 2 4 67108864 33552660 -0.000052809715271 0
0 3 2 5 67108864 33561531 0.000211566686630 0
0 3 2 6 67108864 33559172 0.000141263008118 0
0 3 2 7 67108864 33549881 -0.000135630369186 0
0 3 2 8 67108864 33544852 -0.000285506248474 0
0 3 2 9 67108864 33551182 -0.000096857547760 0
0 3 2 10 67108864 33551366 -0.000091373920441 0
0 3 2 11 67108864 33554596 0.000004887580872 0
0 3 2 12 67108864 33554020 -0.000012278556824 0
0 3 2 13 67108864 33644362 0.002680122852325 1
0 3 2 14 67108864 33557854 0.000101983547211 0
0 3 2 15 67108864 33795361 0.007180243730545 1
0 3 2 16 67108864 33558996 0.000136017799377 0
0 3 2 17 67108864 33551171 -0.000097185373306 0
0 3 2 18 67108864 33571091 0.000496476888657 1
0 3 2 19 67108864 34166466 0.018240034580231 1
0 3 2 20 67108864 33552861 -0.000046819448471 0
0 3 2 21 67108864 33598525 0.001314073801041 1
0 3 2 22 67108864 33554816 0.000011444091797 0
0 3 2 23 67108864 33789710 0.007011830806732 1
0 3 2 24 67108864 34831028 0.038045525550842 1
0 3 2 25 67108864 33544856 -0.000285387039185 0
0 3 2 26 67108864 33687931 0.003978580236435 1
0 3 2 27 67108864 33546764 -0.000228524208069 0
0 3 2 28 67108864 33555510 0.000032126903534 0
0 3 2 29 67108864 33451547 -0.003066211938858 1
0 3 2 30 67108864 33559933 0.000163942575455 0
0 3 2 31 67108864 33175040 -0.011306762695312 1
0 3 3 0 67108864 33543188 -0.000335097312927 0
0 3 3 1 67108864 33553596 -0.000024914741516 0
0 3 3 2 67108864 33551102 -0.000099241733551 0
0 3 3 3 67108864 33559650 0.000155508518219 0
0 3 3 4 67108864 33553826 -0.000018060207367 0
0 3 3 5 67108864 33542960 -0.000341892242432 0
0 3 3 6 67108864 33547718 -0.000200092792511 0
0 3 3 7 67108864 33555254 0.000024497509003 0
0 3 3 8 67108864 33554557 0.000003725290298 0
0 3 3 9 67108864 33557206 0.000082671642303 0
0 3 3 10 67108864 33552316 -0.000063061714172 0
0 3 3 11 67108864 33562284 0.000234007835388 0
0 3 3 12 67108864 33562065 0.000227481126785 0
0 3 3 13 67108864 33554781 0.000010401010513 0
0 3 3 14 67108864 33550874 -0.000106036663055 0
0 3 3 15 67108864 33549440 -0.000148773193359 0
0 3 3 16 67108864 33558721 0.000127822160721 0
0 3 3 17 67108864 33561820 0.000220179557800 0
0 3 3 18 67108864 33554462 0.000000894069672 0
0 3 3 19 67108864 33553882 -0.000016391277313 0
0 3 3 20 67108864 33556760 0.000069379806519 0
0 3 3 21 67108864 33560243 0.000173181295395 0
0 3 3 22 67108864 33561796 0.000219464302063 0
0 3 3 23 67108864 33580370 0.000773012638092 1
0 3 3 24 67108864 33881081 0.009734898805618 1
0 3 3 25 67108864 33562071 0.000227659940720 0
0 3 3 26 67108864 33532339 -0.000658422708511 1
0 3 3 27 67108864 33557733 0.000098377466202 0
0 3 3 28 67108864 33556368 0.000057697296143 0
0 3 3 29 67108864 33556484 0.000061154365540 0
0 3 3 30 67108864 33549090 -0.000159204006195 0
0 3 3 31 67108864 33566770 0.000367701053619 0
0 4 0 0 67108864 33829964 0.008211493492126 1
0 4 0 1 67108864 33591645 0.001109033823013 1
0 4 0 2 67108864 33556208 0.000052928924561 0
0 4 0 3 67108864 33554241 -0.000005692243576 0
0 4 0 4 67108864 33559033 0.000137120485306 0
0 4 0 5 67108864 33555337 0.000026971101761 0
0 4 0 6 67108864 33555195 0.000022739171982 0
0 4 0 7 67108864 33555783 0.000040262937546 0
0 4 0 8 67108864 33553168 -0.000037670135498 0
0 4 0 9 67108864 33870454 0.009418189525604 1
0 4 0 10 67108864 33561054 0.000197350978851 0
0 4 0 11 67108864 33560086 0.000168502330780 0
